DateTime,ACMV.L1.AHU.ARU.1.RAT,ACMV.L1.AHU.ARU.1.RAT_SETPOINT,ACMV.L1.AHU.ARU.1.SAT,ACMV.L1.AHU.ARU.1.VALVE_CMD,ACMV.L1.AHU.ARU.1.VALVE_POS
10/2/2020 08:50:00,22.617151,23,21.101416,25.106104,28.546661
10/2/2020 09:00:00,23.396564,23,22.816156,25.106209,28.448231
10/2/2020 09:10:00,23.797886,23,17.843399,65.141891,66.049011
10/2/2020 09:20:00,23.014097,23,14.729997,73.583946,75.69529
10/2/2020 09:30:00,22.517002,23,14.22848,71.529465,73.825089
10/2/2020 09:40:00,22.441608,23,17.571836,44.13451,48.036076
10/2/2020 09:50:00,23.014097,23,21.912754,42.053223,42.425484
10/2/2020 10:00:00,23.598068,23,20.703417,50.884995,51.776463
10/2/2020 10:10:00,23.218834,23,16.649757,58.519993,58.863522
10/2/2020 10:20:00,22.816156,23,16.098892,58.519993,58.863522
10/2/2020 10:30:00,22.592157,23,15.777322,57.66679,58.961956
10/2/2020 10:40:00,22.567131,23,17.017748,49.666645,50.496857
10/2/2020 10:50:00,22.667068,23,17.720407,48.662453,49.414108
10/2/2020 11:00:00,22.865646,23,18.014881,48.662453,49.512543
10/2/2020 11:10:00,22.890352,23,18.115459,48.662453,49.512543
10/2/2020 11:20:00,22.93968,23,18.240511,48.662453,49.807842
10/2/2020 11:30:00,22.93968,23,18.315187,48.662453,50.103127
10/2/2020 11:40:00,22.964306,23,18.414339,48.662453,49.512543
10/2/2020 11:50:00,22.890352,23,18.364819,48.662453,49.610977
10/2/2020 12:00:00,22.964306,23,18.389593,48.662453,49.610977
10/2/2020 12:10:00,22.93968,23,18.463743,48.662453,49.512543
10/2/2020 12:20:00,22.964306,23,18.463743,48.662453,49.512543
10/2/2020 12:30:00,22.964306,23,18.439053,48.662453,49.512543
10/2/2020 12:40:00,23.039787,23,18.439053,48.662453,49.512543
10/2/2020 12:50:00,22.988909,23,18.463743,48.662453,49.610977
10/2/2020 13:00:00,23.014097,23,18.537626,48.662453,49.610977
10/2/2020 13:10:00,23.039787,23,18.513033,48.662453,49.709404
10/2/2020 13:20:00,23.014097,23,18.513033,48.662453,49.512543
10/2/2020 13:30:00,23.039787,23,18.4884,48.662453,50.201565
10/2/2020 13:40:00,23.014097,23,18.537626,48.662453,49.709404
10/2/2020 13:50:00,23.039787,23,18.562195,48.662453,49.414108
10/2/2020 14:00:00,23.065451,23,18.586739,48.662453,49.414108
10/2/2020 14:10:00,23.142265,23,18.635731,48.662453,49.610977
10/2/2020 14:20:00,23.116688,23,18.61125,48.662453,49.610977
10/2/2020 14:30:00,23.167818,23,18.660183,48.662453,49.512543
10/2/2020 14:40:00,23.167818,23,18.733376,48.662453,49.610977
